q_id	genome_org	taxo1	taxo2	taxonomy	Hit	Hit_name	LAMPA_exclusive	LAMPA_iterat_type	LAMPA_q_from	LAMPA_q_to	LAMPA_h_from	LAMPA_h_to	LAMPA_TemplateHMM	LAMPA_Prob	LAMPA_E_value	PROT_q_from	PROT_q_to	PROT_h_from	PROT_h_to	PROT_TemplateHMM	PROT_Prob	PROT_E_value	DOM_q_from	DOM_q_to	DOM_h_from	DOM_h_to	DOM_TemplateHMM	DOM_Prob	DOM_E_value	target length	target Neff	query length #1	probability #1	pvalue #1	score #1	SS score #1	query coordinates #1	target coordinates #1	query length #2	probability #2	pvalue #2	score #2	SS score #2	query coordinates #2	target coordinates #2	Probab2
YP_009408144.1	ssRNA positive-strand viruses	Tymovirales	Betaflexiviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Tymovirales, Betaflexiviridae, Trivirinae, Divavirus, unclassified Divavirus, Ocimum basilicum RNA virus 1	PF05413.10	Peptidase_C34, Putative closterovirus papain-like endopeptidase	0	2	351	850	670	761	2-92(92)	96.7	5e-04	1	2225	670	761	2-92(92)	94.9	0.0083	570	861	670	761	2-92(92)	97.1	0.00016	92	7.8	2225	94.9	5e-07	51.2	3.1	1-2225	2-92	500	96.7	3e-08	50.3	3.1	351-850	2-92	2	96.86714693928278
YP_009337768.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 7	PF05413.10	Peptidase_C34, Putative closterovirus papain-like endopeptidase	0	2	432	785	629	723	11-91(92)	95.6	0.0066	1	2271	629	723	11-91(92)	88	0.23	529	823	629	723	11-91(92)	96	0.0039	92	7.8	2271	88.0	1.3e-05	42.1	3.9	1-2271	11-91	354	95.6	4e-07	42.3	3.9	432-785	11-91	2	95.50737129646478
YP_009010978.1	ssRNA positive-strand viruses	Astroviridae	Mamastrovirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Astroviridae, Mamastrovirus, unclassified Mamastrovirus, Porcine astrovirus 2	PF05416.11	Peptidase_C37, Southampton virus-type processing peptidase	0	2	600	939	630	729	250-391(562)	95.3	0.019	1	1312	630	729	250-391(562)	94.4	0.034	530	829	635	729	255-391(562)	95.4	0.016	562	4.0	1312	94.4	2e-06	59.7	7.1	1-1312	250-391	340	95.3	1.1e-06	54.4	7.1	600-939	250-391	2	96.39384744392437
YP_009112894.1	ssRNA positive-strand viruses	Closteroviridae	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Closteroviridae, unclassified Closteroviridae, Persimmon virus B	PF05533.11	Peptidase_C42, Beet yellows virus-type papain-like endopeptidase C42	0	3	601	970	803	872	2-78(88)	95.5	0.005	1	3149	803	872	2-78(88)	87.4	0.19	703	972	803	872	2-78(88)	95.8	0.0037	88	4.7	3149	87.4	1.2e-05	46.5	3.3	1-3149	2-78	370	95.5	3e-07	46.5	3.3	601-970	2-78	3	95.5147209086877
YP_009337659.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei virga-like virus 21	PF05533.11	Peptidase_C42, Beet yellows virus-type papain-like endopeptidase C42	0	2	1	166	12	64	6-51(88)	96.9	0.00029	1	2444	12	64	6-51(88)	92.2	0.044	1	164	12	64	6-51(88)	97	0.00028	88	4.7	2444	92.2	2.6e-06	49.8	3.1	1-2444	6-51	166	96.9	1.7e-08	48.5	3.1	1-166	6-51	2	97.11057715638907
YP_009254745.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Wuhan centipede virus	PF05578.11	Peptidase_S31, Pestivirus NS3 polyprotein peptidase S31	0	2	2722	3597	3451	3592	55-185(211)	96.5	0.0046	1	7771	3451	3592	55-185(211)	93.5	0.089	3351	3692	3451	3592	55-185(211)	97	0.0012	211	2.0	7771	93.5	5.3e-06	57.3	8.5	1-7771	55-185	876	96.5	2.8e-07	58.0	8.5	2722-3597	55-185	2	96.35645189286691
YP_009142787.1	ssRNA positive-strand viruses	Nidovirales	Coronaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Coronaviridae, Torovirinae, Bovine nidovirus TCH5	PF05579.12	Peptidase_S32, Equine arteritis virus serine endopeptidase S32	0	2	2164	2513	2199	2464	31-291(296)	96.7	0.006	1	5110	2130	2464	1-291(296)	94.4	0.21	2099	2564	2199	2464	31-291(296)	96.6	0.0062	296	7.9	5110	94.4	1.2e-05	53.5	13.6	1-5110	1-291	350	96.7	3.6e-07	50.2	9.9	2164-2513	31-291	2	97.44154901893305
NP_051710.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, Cryphonectria hypovirus 3	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	1193	1492	1312	1421	3-118(142)	95.6	0.0096	1	2874	1312	1421	3-118(142)	86.9	0.39	1212	1521	1312	1421	3-118(142)	95.7	0.0091	142	7.0	2874	86.9	2.3e-05	45.2	5.3	1-2874	3-118	300	95.6	5.7e-07	44.5	5.3	1193-1492	3-118	3	95.83555970784238
YP_005476604.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Valsa ceratosperma hypovirus 1	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	1201	1500	1376	1486	1-117(142)	96	0.00092	1	2940	1376	1486	1-117(142)	88.7	0.06	1276	1586	1376	1486	1-117(142)	95.9	0.00097	142	7.0	2940	88.7	3.6e-06	51.0	0.8	1-2940	1-117	300	96.0	5.5e-08	50.2	0.8	1201-1500	1-117	3	96.15328777273885
YP_009051683.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, unclassified Hypovirus, Phomopsis longicolla hypovirus	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	1201	1500	1283	1394	1-118(142)	95.1	0.053	1	2848	1283	1394	1-118(142)	83.4	1.6	1183	1494	1283	1394	1-118(142)	95	0.059	142	7.0	2848	83.4	9.7e-05	40.8	7.7	1-2848	1-118	300	95.1	3.2e-06	40.3	7.9	1201-1500	1-118	3	95.20889628590817
YP_138519.1	dsRNA viruses	Hypoviridae	Hypovirus	Viruses, dsRNA viruses, Hypoviridae, Hypovirus, Cryphonectria hypovirus 4	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	1201	1500	1278	1389	1-118(142)	97.1	0.00043	1	2848	1278	1389	1-118(142)	94.1	0.037	1178	1489	1278	1389	1-118(142)	97.1	0.00047	142	7.0	2848	94.1	2.2e-06	52.3	6.0	1-2848	1-118	300	97.1	2.6e-08	52.1	6.0	1201-1500	1-118	3	97.16302584337896
YP_005255246.1	dsRNA viruses	Reoviridae	unclassified	Viruses, dsRNA viruses, Reoviridae, unclassified Reoviridae, Spissistilus festinus reovirus	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	901	1310	1190	1243	61-121(142)	96.6	0.00062	1	1310	1190	1245	61-123(142)	94.9	0.0065	1090	1310	1190	1245	61-123(142)	97.2	9.7e-05	142	7.0	1310	94.9	3.9e-07	53.6	2.7	1-1310	61-123	410	96.6	3.7e-08	53.2	3.1	901-1310	61-121	2	96.61920103090301
YP_009428582.1	dsRNA viruses	Reoviridae	unclassified	Viruses, dsRNA viruses, Reoviridae, unclassified Reoviridae, Grapevine Cabernet Sauvignon reovirus	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	751	1052	960	1028	67-137(142)	95.9	0.00054	1	1052	960	1028	67-137(142)	92.6	0.0097	860	1052	960	1028	67-137(142)	96.5	0.00016	142	7.0	1052	92.6	5.8e-07	51.3	-0.7	1-1052	67-137	302	95.9	3.2e-08	51.6	-0.7	751-1052	67-137	3	95.851205180842
YP_009337202.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenling crustacean virus 1	PF05903.13	Peptidase_C97, PPPDE putative peptidase domain	0	3	601	1039	917	1009	53-142(142)	95.8	0.0071	1	1039	917	1009	53-142(142)	94	0.036	817	1039	917	1009	53-142(142)	96.7	0.0014	142	7.0	1039	94.0	2.2e-06	47.6	5.3	1-1039	53-142	439	95.8	4.2e-07	47.4	5.3	601-1039	53-142	2	95.84815297100633
YP_008083730.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Parechovirus, Sebokele virus 1	PF06363.10	Picorna_P3A, Picornaviridae P3A protein	0	2	1366	1566	1442	1537	5-100(100)	96.9	0.00066	1	2233	1442	1537	5-100(100)	94.4	0.023	1342	1637	1442	1537	5-100(100)	96.7	0.0012	100	1.3	2233	94.4	1.4e-06	52.0	5.0	1-2233	5-100	201	96.9	3.9e-08	50.2	5.0	1366-1566	5-100	2	97.13792335905524
YP_009054899.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus, Chicken picornavirus 2	PF06363.10	Picorna_P3A, Picornaviridae P3A protein	0	2	1443	1584	1472	1550	6-88(100)	95.8	0.00059	1	2207	1472	1550	6-88(100)	86.7	0.051	1372	1650	1472	1550	6-88(100)	94.7	0.0022	100	1.3	2207	86.7	3.1e-06	49.6	-1.0	1-2207	6-88	142	95.8	3.5e-08	48.4	-1.0	1443-1584	6-88	2	96.08447191039437
YP_009345900.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Bat crohivirus	PF06363.10	Picorna_P3A, Picornaviridae P3A protein	0	2	1324	1524	1406	1471	21-85(100)	95.5	0.004	1	2173	1432	1471	46-85(100)	88.2	0.17	1306	1571	1406	1470	21-84(100)	95	0.0071	100	1.3	2173	88.2	1e-05	46.1	3.5	1-2173	46-85	201	95.5	2.4e-07	45.9	2.6	1324-1524	21-85	2	95.82609404261144
YP_009361997.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Parechovirus, Ferret parechovirus	PF06363.10	Picorna_P3A, Picornaviridae P3A protein	0	2	1348	1546	1429	1508	14-93(100)	96.5	0.0015	1	2207	1429	1508	14-93(100)	91.8	0.08	1329	1608	1429	1508	14-93(100)	96.3	0.0024	100	1.3	2207	91.8	4.8e-06	48.4	4.4	1-2207	14-93	199	96.5	8.7e-08	48.2	4.4	1348-1546	14-93	2	96.54851736999092
YP_392482.1	dsRNA viruses	Chrysoviridae	Chrysovirus	Viruses, dsRNA viruses, Chrysoviridae, Chrysovirus, Penicillium chrysogenum virus	PF06414.11	Zeta_toxin, Zeta toxin	0	2	1	359	78	169	10-134(196)	96.5	0.0016	1	1117	78	169	10-134(196)	94.6	0.019	1	269	78	169	10-134(196)	96.8	0.001	196	11.1	1117	94.6	1.1e-06	45.4	4.4	1-1117	10-134	359	96.5	9.8e-08	45.2	4.4	1-359	10-134	2	96.54624541153771
YP_009333542.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai picorna-like virus 118	PF06414.11	Zeta_toxin, Zeta toxin	0	2	541	1234	660	748	16-165(196)	95.9	0.003	1	2013	660	748	16-165(196)	93.3	0.03	560	848	660	748	16-165(196)	96.8	0.00061	196	11.1	2013	93.3	1.8e-06	47.2	3.5	1-2013	16-165	694	95.9	1.8e-07	47.5	3.5	541-1234	16-165	2	95.84043465194067
YP_009336523.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Beihai uca arcuata virus 1	PF06414.11	Zeta_toxin, Zeta toxin	0	3	1051	1417	1230	1327	5-140(196)	96.4	0.0031	1	1982	1230	1341	5-167(196)	93.2	0.072	1130	1427	1230	1327	5-140(196)	96.6	0.0018	196	11.1	1982	93.2	4.3e-06	44.7	5.8	1-1982	5-167	367	96.4	1.9e-07	43.8	5.2	1051-1417	5-140	4	96.64606674950268
YP_001661452.1	ssRNA positive-strand viruses	Nidovirales	Roniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Roniviridae, Okavirus, Gill-associated virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	6256	6673	6468	6635	26-214(297)	96.9	0.00094	1	6673	6468	6635	26-214(297)	92.4	0.098	6368	6673	6468	6635	26-214(297)	97.2	0.00048	297	8.4	6673	92.4	5.9e-06	56.7	6.9	1-6673	26-214	418	96.9	5.6e-08	55.5	6.9	6256-6673	26-214	2	97.07366166665297
NP_579968.1	ssRNA positive-strand viruses	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, SFV complex, Mayaro virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	1166	1337	1188	1304	87-210(297)	96.4	0.0032	1	2437	1188	1304	87-210(297)	88.3	0.3	1088	1404	1188	1304	87-210(297)	95.6	0.0098	297	8.4	2437	88.3	1.8e-05	48.4	5.6	1-2437	87-210	172	96.4	1.9e-07	46.6	5.6	1166-1337	87-210	2	96.69209798888315
NP_579969.1	ssRNA positive-strand viruses	Togaviridae	Alphavirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Togaviridae, Alphavirus, SFV complex, Mayaro virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	1166	1337	1188	1304	87-210(297)	96.4	0.0032	1	1819	1188	1304	87-210(297)	90	0.2	1088	1404	1188	1304	87-210(297)	95.6	0.0098	297	8.4	1819	90.0	1.2e-05	48.3	5.6	1-1819	87-210	172	96.4	1.9e-07	46.6	5.6	1166-1337	87-210	2	96.67619553559496
YP_009256205.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Negev virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	462	1390	865	1027	74-213(297)	95.4	0.004	1	2368	865	1027	74-213(297)	93.4	0.018	765	1127	865	1027	74-213(297)	96.5	6e-04	297	8.4	2368	93.4	1.1e-06	57.2	2.7	1-2368	74-213	929	95.4	2.4e-07	56.6	2.7	462-1390	74-213	2	95.53849776523487
YP_009270625.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Brejeira virus	PF06460.11	NSP13, Coronavirus NSP13	0	3	737	1036	840	1005	74-214(297)	95.4	0.0027	1	2337	840	1005	74-214(297)	87.8	0.091	740	1105	840	1005	74-214(297)	94.8	0.0048	297	8.4	2337	87.8	5.5e-06	52.0	1.5	1-2337	74-214	300	95.4	1.6e-07	50.6	1.5	737-1036	74-214	3	95.79393214042348
YP_009351830.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Piura virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	434	1327	837	1002	74-214(297)	96	0.0038	1	2336	837	1002	74-214(297)	94.7	0.016	737	1102	837	1002	74-214(297)	96.8	7e-04	297	8.4	2336	94.7	9.7e-07	57.5	5.2	1-2336	74-214	894	96.0	2.3e-07	56.5	5.2	434-1327	74-214	2	96.20273658068857
YP_009362298.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Castlerea virus	PF06460.11	NSP13, Coronavirus NSP13	0	2	463	1386	865	1048	74-238(297)	96	0.00085	1	2369	865	1048	74-238(297)	94.7	0.0042	765	1148	865	1048	74-238(297)	96.9	1e-04	297	8.4	2369	94.7	2.5e-07	61.9	0.8	1-2369	74-238	924	96.0	5.1e-08	61.0	0.8	463-1386	74-238	2	96.16253395876825
YP_009336549.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenling nido-like virus 1	PF06460.11	NSP13, Coronavirus NSP13	0	2	6312	6730	6555	6695	69-221(297)	96.3	0.0036	1	6730	6556	6713	72-239(297)	86.4	0.3	6455	6730	6555	6695	69-221(297)	96.8	0.0011	297	8.4	6730	86.4	1.8e-05	52.8	4.8	1-6730	72-239	419	96.3	2.1e-07	52.0	6.0	6312-6730	69-221	2	96.20659491521702
YP_009337393.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Wenzhou hepe-like virus 2	PF06460.11	NSP13, Coronavirus NSP13	0	3	633	1039	823	1014	45-253(297)	96	0.016	1	1826	823	1014	45-253(297)	92	0.26	723	1114	823	1014	45-253(297)	95.9	0.018	297	8.4	1826	92.0	1.5e-05	47.5	8.6	1-1826	45-253	407	96.0	9.4e-07	47.8	8.6	633-1039	45-253	3	95.92869551947469
YP_004598981.2	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Cavally virus	PF06471.11	NSP11, NSP11	0	2	4280	5088	4435	4612	141-277(584)	95.4	0.0028	1	5088	4435	4612	141-277(584)	92.2	0.025	4335	4712	4435	4612	141-277(584)	96.1	0.00093	584	3.3	5088	92.2	1.5e-06	66.7	2.0	1-5088	141-277	809	95.4	1.7e-07	65.6	2.0	4280-5088	141-277	2	95.65744526894049
YP_004767305.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Nam Dinh virus	PF06471.11	NSP11, NSP11	0	2	4284	5092	4439	4616	141-277(584)	95.8	0.0018	1	5092	4439	4616	141-277(584)	93.1	0.017	4339	4716	4439	4616	141-277(584)	96.4	0.00056	584	3.3	5092	93.1	1e-06	68.2	2.1	1-5092	141-277	809	95.8	1.1e-07	67.0	2.1	4284-5092	141-277	2	95.98245086079106
YP_007697629.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Hana virus	PF06471.11	NSP11, NSP11	0	2	4283	5087	4358	4612	83-277(584)	96.1	0.0014	1	5087	4358	4612	83-277(584)	93.5	0.017	4258	4712	4358	4612	83-277(584)	96.6	0.00054	584	3.3	5087	93.5	1e-06	68.1	3.0	1-5087	83-277	805	96.1	8.6e-08	67.7	3.0	4283-5087	83-277	2	96.13008249439615
YP_007697636.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, unassigned Mesoniviridae, Meno virus	PF06471.11	NSP11, NSP11	0	2	4257	5064	4406	4588	136-276(584)	95.8	0.002	1	5064	4406	4588	136-276(584)	93.2	0.02	4306	4688	4406	4588	136-276(584)	96.5	0.00061	584	3.3	5064	93.2	1.2e-06	67.6	2.8	1-5064	136-276	808	95.8	1.2e-07	66.6	2.8	4257-5064	136-276	2	96.00228833670629
YP_007697642.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, unassigned Mesoniviridae, Nse virus	PF06471.11	NSP11, NSP11	0	2	4281	5090	4435	4613	141-277(584)	95.9	0.0013	1	5090	4435	4613	141-277(584)	93.4	0.013	4335	4713	4435	4613	141-277(584)	96.6	0.00033	584	3.3	5090	93.4	7.6e-07	69.3	1.5	1-5090	141-277	810	95.9	7.5e-08	68.2	1.5	4281-5090	141-277	2	96.07163552565905
YP_009026378.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Casuarina virus	PF06471.11	NSP11, NSP11	0	2	4260	5065	4412	4589	141-277(584)	95.7	0.0024	1	5065	4412	4588	141-276(584)	92.3	0.031	4312	4689	4412	4589	141-277(584)	96.3	0.00096	584	3.3	5065	92.3	1.8e-06	66.0	2.9	1-5065	141-276	806	95.7	1.4e-07	66.0	3.0	4260-5065	141-277	2	95.7060247375376
YP_009448185.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, unclassified Mesoniviridae, Dianke virus	PF06471.11	NSP11, NSP11	0	2	1721	2528	1875	2052	141-277(584)	95.9	0.0018	1	2528	1875	2052	141-277(584)	94.5	0.0083	1775	2152	1875	2052	141-277(584)	96.6	0.00054	584	3.3	2528	94.5	5e-07	67.7	2.9	1-2528	141-277	808	95.9	1.1e-07	67.0	2.9	1721-2528	141-277	2	96.03864592901809
YP_004767305.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Nam Dinh virus	PF06478.12	Corona_RPol_N, Coronavirus RPol N-terminus	0	2	1785	3086	2510	2696	18-209(353)	95.5	0.0075	1	5092	2510	2696	18-209(353)	93.5	0.036	2410	2796	2510	2696	18-209(353)	96.6	0.0011	353	3.2	5092	93.5	2.1e-06	62.8	5.5	1-5092	18-209	1302	95.5	4.5e-07	62.0	5.5	1785-3086	18-209	2	95.6709446265017
YP_007697636.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, unassigned Mesoniviridae, Meno virus	PF06478.12	Corona_RPol_N, Coronavirus RPol N-terminus	0	2	1754	2983	2517	2672	58-213(353)	95.1	0.0076	1	5064	2517	2672	58-213(353)	92.5	0.044	2417	2772	2517	2672	58-213(353)	96.6	0.00079	353	3.2	5064	92.5	2.6e-06	62.0	4.2	1-5064	58-213	1230	95.1	4.6e-07	61.6	4.2	1754-2983	58-213	2	95.2281384604745
YP_009026378.1	ssRNA positive-strand viruses	Nidovirales	Mesoniviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Nidovirales, Mesoniviridae, Alphamesonivirus, Casuarina virus	PF06478.12	Corona_RPol_N, Coronavirus RPol N-terminus	0	2	1759	3062	2485	2692	18-230(353)	96	0.0012	1	5065	2485	2692	18-230(353)	94.3	0.0083	2385	2792	2485	2692	18-230(353)	97	0.00014	353	3.2	5065	94.3	5e-07	67.9	2.3	1-5065	18-230	1304	96.0	7.3e-08	67.8	2.3	1759-3062	18-230	2	96.04818435131625
YP_006331065.1	dsRNA viruses	unclassified	unclassified	Viruses, dsRNA viruses, Sclerotinia sclerotiorum dsRNA mycovirus-L	PF07236.10	Phytoreo_S7, Phytoreovirus S7 protein	0	2	804	1338	901	977	268-345(484)	96.1	0.00095	1	1338	901	977	268-345(484)	94.9	0.0045	801	1077	901	977	268-345(484)	96.7	0.00028	484	2.5	1338	94.9	2.7e-07	65.3	1.9	1-1338	268-345	535	96.1	5.7e-08	65.3	1.9	804-1338	268-345	2	96.12260119153147
YP_009337018.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei picorna-like virus 48	PF07236.10	Phytoreo_S7, Phytoreovirus S7 protein	0	2	2749	2953	2812	2895	268-355(484)	97.2	0.00016	1	2953	2812	2895	268-355(484)	95	0.0084	2712	2953	2812	2895	268-355(484)	97.1	0.00023	484	2.5	2953	95.0	5e-07	66.7	4.4	1-2953	268-355	205	97.2	9.3e-09	64.4	4.4	2749-2953	268-355	2	97.37586716494101
YP_009337339.1	unclassified	unclassified	unclassified	Viruses, unclassified RNA viruses, Hubei tetragnatha maxillosa virus 3	PF07236.10	Phytoreo_S7, Phytoreovirus S7 protein	0	2	2707	2872	2744	2811	268-336(484)	95.9	0.0026	1	2872	2744	2811	268-336(484)	86.8	0.18	2644	2872	2744	2811	268-336(484)	95.4	0.0048	484	2.5	2872	86.8	1.1e-05	55.9	3.3	1-2872	268-336	166	95.9	1.6e-07	55.1	3.3	2707-2872	268-336	2	96.04195928297655
YP_007905734.1	ssRNA positive-strand viruses	Flaviviridae	Pegivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pegivirus, unclassified Pegivirus, Rodent pegivirus	PF08301.12	HCV_NS5a_1b, Hepatitis C virus non-structural 5a domain 1b	0	2	2350	2919	2351	2421	2-68(97)	97	0.00014	1	3484	2351	2421	2-68(97)	94.6	0.0066	2251	2521	2351	2421	2-68(97)	97.5	1.9e-05	97	6.1	3484	94.6	3.9e-07	56.6	2.0	1-3484	2-68	570	97.0	8.2e-09	57.2	2.0	2350-2919	2-68	2	96.91644961300732
YP_009361867.1	ssRNA positive-strand viruses	Flaviviridae	Pegivirus	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Flaviviridae, Pegivirus, Pegivirus K	PF08301.12	HCV_NS5a_1b, Hepatitis C virus non-structural 5a domain 1b	0	2	2060	2401	2064	2157	4-94(97)	95.8	0.0039	1	2972	2064	2157	4-94(97)	87.8	0.2	1964	2257	2064	2157	4-94(97)	95.9	0.0034	97	6.1	2972	87.8	1.2e-05	45.8	3.7	1-2972	4-94	342	95.8	2.3e-07	46.0	3.7	2060-2401	4-94	2	95.79368035883205
YP_009179227.1	ssRNA positive-strand viruses	unclassified	unclassified	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Wenling shark virus	PF08301.12	HCV_NS5a_1b, Hepatitis C virus non-structural 5a domain 1b	0	2	2107	2202	2109	2198	1-95(97)	95.1	0.0025	1	3086	2109	2198	1-95(97)	57.5	1.4	2009	2298	2109	2198	1-95(97)	90.5	0.033	97	6.1	3086	57.5	8.4e-05	40.2	0.3	1-3086	1-95	96	95.1	1.5e-07	39.7	0.3	2107-2202	1-95	2	95.29167418872476
NP_047200.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Kobuvirus, Aichi virus 1	PF08405.10	Calici_PP_N, Viral polyprotein N-terminal	0	2	997	1213	1024	1111	7-96(358)	95.3	0.01	1	2433	1025	1111	8-96(358)	77.8	1	924	1211	1025	1111	8-96(358)	94.2	0.025	358	6.4	2433	77.8	6e-05	47.4	4.6	1-2433	8-96	217	95.3	6.3e-07	48.9	4.7	997-1213	7-96	2	94.64837899503941
YP_004782207.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Kobuvirus, unclassified Kobuvirus, Mouse kobuvirus M-5/USA/2010	PF08405.10	Calici_PP_N, Viral polyprotein N-terminal	0	2	1003	1219	1026	1124	3-103(358)	96.1	0.0081	1	2439	1026	1438	3-355(358)	94.5	0.95	926	1224	1026	1124	3-103(358)	95.3	0.021	358	6.4	2439	94.5	5.7e-05	47.6	18.8	1-2439	3-355	217	96.1	4.8e-07	49.6	7.1	1003-1219	3-103	2	97.36991399745443
YP_009215118.1	ssRNA positive-strand viruses	Picornavirales	Picornaviridae	Viruses, ssRNA viruses, ssRNA positive-strand viruses, no DNA stage, Picornavirales, Picornaviridae, Avisivirus Pf-CHK1/AsV	PF08405.10	Calici_PP_N, Viral polyprotein N-terminal	0	2	814	1172	850	1128	14-290(358)	95.5	0.019	1	2146	850	1128	14-290(358)	91	0.23	750	1228	850	1128	14-290(358)	94.9	0.036	358	6.4	2146	91.0	1.4e-05	51.8	7.6	1-2146	14-290	359	95.5	1.1e-06	50.3	7.6	814-1172	14-290	3	95.8894939395278
